About,درباره,
App Name,نام برنامه,
Apps,برنامه ها,
Background Image,تصویر پس زمینه,
Calendar,تقویم,
Camera,دوربین,
Custom CSS,CSS سفارشی,
Description,شرح,
Download,دانلود,
File,فایل,
Filter,فیلتر,
Folder,پوشه,
Frappe Support,پشتیبانی Frappe,
General,عمومی,
Home,صفحه اصلی,
Icon,آیکون,
Image,تصویر,
Inbox,صندوق ورودی,
Is Active,فعال است,
Keyboard Shortcuts,میانبرهای صفحه کلید,
Label,برچسب,
Log out,خروج,
My Profile,نمایه من,
My Settings,تنظیمات من,
Package,بسته,
Phone,تلفن,
Primary Color,رنگ اصلی,
Reload,بارگذاری مجدد,
Search,جستجو کردن,
Session Defaults,پیش‌فرض‌های نشست,
Settings,تنظیمات,
System Manager,مدیر سیستم,
Title,عنوان,
Toggle Full Width,تغییر وضعیت عرض کامل,
Toggle Theme,تغییر تم,
Tools,ابزار,
Upload,آپلود,
User,کاربر,
Users,کاربران,
View Website,مشاهده وب سایت,
