App Name,ชื่อ แอพพลิเคชั่น,
Calendar,ปฏิทิน,
Camera,กล้อง,
Custom CSS,CSS ที่กำหนดเอง,
Description,คำอธิบาย,
Download,ดาวน์โหลด,
File,ไฟล์,
Filter,กรอง,
Folder,โฟลเดอร์,
Home,บ้าน,
Icon,ไอคอน,
Image,รูปภาพ,
Inbox,กล่องขาเข้า,
Is Active,มีการใช้งาน,
Keyboard Shortcuts,แป้นพิมพ์ลัด,
Label,ฉลาก,
Phone,โทรศัพท์,
Primary Color,สีหลัก,
Reload,โหลด,
Search,ค้นหา,
Session Defaults,ค่าเริ่มต้นของเซสชัน,
Settings,การตั้งค่า,
System Manager,จัดการระบบ,
Title,ชื่อเรื่อง,
Upload,อัปโหลด,
User,ผู้ใช้งาน,
Users,ผู้ใช้,
View Website,ดูเว็บไซต์,
