App Name,اسم التطبيق,
Background Image,صورة الخلفية,
Calendar,تقويم,
Camera,الة تصوير,
Custom CSS,مخصصةCSS,
Description,وصف,
Download,تحميل,
File,ملف,
Filter,منقي,
Folder,مجلد,
General,عام,
Home,الصفحة الرئيسية,
Icon,أيقونة,
Image,صورة,
Inbox,صندوق الوارد,
Is Active,نشط,
Keyboard Shortcuts,اختصارات لوحة المفاتيح,
Label,ملصق,
Phone,هاتف,
Primary Color,لون أصلي,
Reload,تحديث,
Search,البحث,
Session Defaults,الجلسة الافتراضية,
Settings,إعدادات,
System Manager,مدير النظام,
Title,اللقب,
Upload,تحميل,
User,المستعمل,
Users,المستخدمين,
View Website,مشاهدة الموقع,
