App Name,שם אפליקציה,
Calendar,לוח שנה,
Camera,מַצלֵמָה,
Custom CSS,CSS המותאם אישית,
Description,תיאור,
Download,הורד,
File,קוֹבֶץ,
Filter,לְסַנֵן,
Folder,תיקייה,
Home,בית,
Icon,אייקון,
Image,תמונה,
Inbox,תיבת הדואר הנכנס,
Is Active,האם Active,
Keyboard Shortcuts,קיצורי דרך במקלדת,
Label,תווית,
Phone,טלפון,
Primary Color,צבע יסוד,
Reload,רענן,
Search,חיפוש,
Session Defaults,ברירות מחדל של מושב,
Settings,הגדרות,
System Manager,מנהל מערכת,
Title,כותרת,
Upload,העלאה,
User,מִשׁתַמֵשׁ,
Users,משתמשים,
View Website,אתר צפה ב,
