App Name,ددفتروسایل نوم,
Calendar,جنتري,
Camera,کیمره,
Custom CSS,د ګمرکونو د سټايل شي,
Description,Description,
Download,ډاونلوډ,
File,دوتنه,
Filter,فلټر,
Folder,دادوسیه,
Home,کور,
Icon,شبیه,
Image,د انځور,
Inbox,Inbox,
Is Active,آیا د فعالو,
Keyboard Shortcuts,کيلي لنډلار,
Label,لیبل,
Phone,تيليفون,
Primary Color,لومړنی رنګ,
Reload,Reload,
Search,د لټون,
Session Defaults,د ناستې ټاکل,
Settings,امستنې,
System Manager,سيستم مدير,
Title,نوم,
Upload,پورته کول,
User,کارن,
Users,کارنان,
View Website,محتویات وېب پاڼه,
